,種目,組,選手,記録,着順,風・備考,時間,分,秒,秒以下,区分
116,800m,1,箱�ｱ　喜郎,"2'00""39",4着,4位入賞,,2.0,0.0,39.0,決勝
117,1,小林　裕平,"2'01""02",6着,6位入賞,,,,,,
118,800m,2,河合　正貴,"2'00""92",1着,-,,2.0,0.0,92.0,OP
119,2,芝江　柾葵,"2'00""95",2着,-,,,,,,
120,2,中村　勇太,"2'03""64",6着,-,,,,,,
121,3,笠木　浩平,"2'01""62",3着,-,,,,,,
122,4,小島　俊平,"2'02""82",1着,PB,,,,,,
123,5,佐々木　亮一,DNS,-,-,,,,,,
124,1500m,1,松井　将器,"3'54""15",1着,PB/総合1位/歴代2位,,3.0,54.0,15.0,TR決勝
125,1,塩田　匠,"3'57""42",4着,PB/総合4位/歴代6位,,,,,,
126,1,河合　正貴,"4'05""88",7着,総合7位,,,,,,
127,5000m,1,松井　将器,"14'37""56",1着,優勝/4連覇,,14.0,37.0,56.0,決勝
128,1,塩田　匠,"14'57""00",2着,2位入賞,,,,,,
129,1,新美　惣一朗,"15'17""87",4着,4位入賞,,,,,,
130,5000m,1,丸山　蒼太,"15'55""24",4着,-,,15.0,55.0,24.0,OP
131,1,杉浦　拓馬,"16'08""93",7着,-,,,,,,
132,1,山内　岳秋,"16'19""40",10着,-,,,,,,
133,1,辻　航平,"16'29""14",11着,-,,,,,,
134,2,田井　裕次郎,"16'25""13",1着,PB,,,,,,
135,2,阿川　陽,"17'28""49",18着,-,,,,,,
136,2,山根　圭太,"17'46""08",22着,-,,,,,,
137,2,奈良　悠冬,"17'59""84",25着,-,,,,,,
138,2,中野　佑太,DNS,-,-,,,,,,
139,3,外山　真矢人,"18'00""53",10着,-,,,,,,
140,3,久司　駿三,"18'02""03",11着,-,,,,,,
141,3,松原　佳祐,"18'59""66",21着,-,,,,,,
142,3,吉田　啓一郎,"19'11""52",22着,-,,,,,,
143,110mH,1,永島　唯哉,"14""83",1着,-0.8/総合1位,,,14.0,83.0,TR決勝
144,400mH,2,永島　唯哉,"55""88",3着,PB/総合7位/歴代4位,,,55.0,88.0,TR決勝
145,4×100m,1,天野　皓平西嶋　健人永井　生永島　唯哉,"42""16",3着,総合3位,,,42.0,16.0,RTR決勝
146,4×400m,1,高橋　知也中嶋　一貴宮田　貴史中村　勇太,"3'21""69",3着,総合3位,,3.0,21.0,69.0,RTR決勝
147,1,足達　哲也,1m75,-,-,,,,,,
148,1,小河　雅広,DNS,-,-,,,,,,
149,1,櫛田　優,5m90,-,0.8/PB,,,,,,
150,1,石井　裕太,5m59,-,0.3,,,,,,
151,女子100m,3,足立　茉優,"13""84",1着,0.3/歴代3位,,,13.0,84.0,OP
152,女子800m,2,五日市　実侑,"2'35""89",1着,PB/総合8位/歴代3位,,2.0,35.0,89.0,TR決勝
153,2,丸田　彩佳,"2'36""73",2着,PB/総合9位/歴代5位,,,,,,
154,3000m,1,上田　菜々子,"10'53""31",4着,工大新記録,,10.0,53.0,31.0,決勝
155,1,川崎　忍,"11'53""42",9着,歴代4位,,,,,,
156,100m,3,西嶋　健人,"11""16",2着,0.0,,,11.0,16.0,予選
157,4,岩井　梨輝,"11""05",3着,+ 0.4/q/PB,,,,,,
158,5,米川　晴義,"11""33",2着,0.0,,,,,,
159,100m,1,岩井　梨輝,10″99,8着,+1.1/PB/歴代7位タイ/8位入賞,,,,,決勝
160,100m,1,森　達也,"11""15",2着,+ 2.8,,,11.0,15.0,OP
161,1,益田　一毅,"11""16",3着,+ 2.8,,,,,,
162,3,白井　陸大,"12""08",2着,+1.5/PB,,,,,,
163,200m,1,永井　生,"22""59",2着,0.0,,,22.0,59.0,予選
164,2,米川　晴義,"22""83",3着,+ 2.4,,,,,,
165,5,天野　皓平,"22""35",1着,+2.2 Q,,,,,,
166,200m,1,天野　皓平,"21""93",1着,+1.6/PB/歴代3位/優勝,,,21.0,93.0,決勝
167,400m,2,小長光　貴裕,"52""61",6着,-,,,52.0,61.0,予選
168,3,高橋　知也,"49""81",1着,Q,,,,,,
169,4,宮田　貴史,"52""57",4着,-,,,,,,
170,400m,3,高橋　知也,"49""73",3着,3位入賞,,,49.0,73.0,決勝
171,800m,4,芝江　柾葵,"1'56""73",3着,歴代9位/3位入賞,,1.0,56.0,73.0,TR決勝
172,4,小林　裕平,"1'59""49",7着,-,,,,,,
173,4,箱�ｱ　喜郎,"2'00""78",8着,-,,,,,,
174,1500m,2,松井　将器,"4'00""48",1着,優勝,,4.0,0.0,48.0,TR決勝
175,2,箱�ｱ　喜郎,"4'07""21",7着,7位入賞,,,,,,
176,2,河合　正貴,"4'07""72",8着,8位入賞,,,,,,
177,1500m,1,井上　暁人,"4'22""01",6着,-,,4.0,22.0,1.0,OP
178,1,笠木　浩平,DNS,-,-,,,,,,
179,1,佐々木　亮一,DNS,-,-,,,,,,
180,5000m,1,塩田　匠,"14'58""83",1着,優勝,,14.0,58.0,83.0,TR決勝
181,1,新美　惣一朗,"15'11""51",3着,PB/歴代11位/3位入賞,,,,,,
182,1,丸山　蒼太,"15'23""38",6着,6位入賞,,,,,,
183,5000m,1,山内　岳秋,"16'40""35",3着,-,,16.0,40.0,35.0,OP
184,1,田井　裕次郎,"16'53""83",5着,-,,,,,,
185,1,奈良　悠冬,"17'07""89",10着,-,,,,,,
186,1,中野　佑太,"17'26""46",12着,-,,,,,,
187,1,赤塚　洋介,DNF,-,-,,,,,,
188,110mH,1,永島　唯哉,"14""80",2着,+0.9/2位入賞,,,14.0,80.0,TR決勝
189,400mH,1,永島　唯哉,"55""29",1着,PB/歴代3位/総合3位/関東インカレB標準突破,,,55.0,29.0,TR決勝
190,4×100m,1,天野　皓平西嶋　健人永井　生永島　唯哉,"42""29",4着,4位入賞,,,42.0,29.0,RTR決勝
191,4×400m,2,小長光　貴裕高橋　知也宮田　貴史芝江　柾葵,"3'22""76",3着,3位入賞,,3.0,22.0,76.0,RTR決勝
192,1,小林　拓己,6m77,4等,+0.7/PB/歴代14位/4位入賞,,,,,,
193,1,櫛田　優,DNS,-,-,,,,,,
194,1,足達　哲也,1m70,8等,8位入賞,,,,,,
195,1,小河　雅広,DNS,-,-,,,,,,
196,1,福井　義光,7m65,-,-,,,,,,
197,女子200m,1,木原　葉子,"26""20",3着,+2.4/3位入賞,,,26.0,20.0,TR決勝
198,女子400m,2,木原　葉子,"59""72",3着,3位入賞/工大新記録,,,59.0,72.0,TR決勝
199,女子800m,1,丸田　彩佳,"2'35""99",3着,PB/歴代4位,,2.0,35.0,99.0,TR決勝
200,2,五日市　実侑,"2'38""02",6着,-,,,,,,
201,3,大谷　菜々子,"3'03""89",6着,初,,,,,,
202,女子3000m,1,上田　菜々子,"10'56""97",2着,2位入賞,,10.0,56.0,97.0,
203,1,川崎　忍,DNS,-,-,,,,,,
204,女子4×400mR,1,上田　菜々子木原　葉子丸田　彩佳五日市　実侑,"4'28""62",5着,工大記録樹立,,4.0,28.0,62.0,決勝
205,100m,岩井　梨輝,"10""7",1着,風計測なし,,,,,,
206,100m,尾川　拓巳,"11""0",2着,風計測なし,,,,,,
207,200m,岩井　梨輝,"22""0",3着,風計測なし,,,,,,
208,200m,尾川　拓巳,"22""5",4着,風計測なし,,,,,,
209,400m,高橋　知也,"49""4",2着,PB/歴代3位タイ,,,,,,
210,400m,中嶋　一貴,"50""8",3着,PB/歴代17位タイ,,,,,,
211,800m,江頭　悠郎,"1'59""6",1着,-,,,,,,
212,800m,箱�ｱ　喜郎,"2'00""3",2着,-,,,,,,
213,1500m,塩田　匠,"4'04""3",1着,-,,,,,,
214,1500m,箱�ｱ　喜郎,"4'11""4",3着,-,,,,,,
215,5000m,塩田　匠,"14'56""8",1着,-,,,,,,
216,5000m,新美　惣一朗,"16'14""0",2着,-,,,,,,
217,110mH,永島　唯哉,"14""3",1着,風計測なし,,,,,,
218,110mH,小長光　貴裕,"17""8",4着,風計測なし,,,,,,
219,400mH,永島　唯哉,"57""5",1着,-,,,,,,
220,400mH,中嶋　一貴,"67""6",6着,-,,,,,,
221,4×100mR,岩井　梨輝片瀬　悠喜益田　一毅永島　唯哉,"43""1",1着,-,,,,,,
222,4×400mR,中嶋　一貴高橋　知也小長光　貴裕芝江　柾葵,"3'26""1",2着,-,,,,,,
223,100m,横山　毅仁,"10""9",1組1着,風計測なし,,,,,,OP
224,100m,片瀬　悠喜,"11""4",1組3着,風計測なし,,,,,,OP
225,100m,下山　達大,"11""5",4組1着,風計測なし,,,,,,OP
226,100m,足立　茉優,"13""5",4組5着,風計測なし,,,,,,OP
227,100m,石井　裕太,DNS,-,-,,,,,,OP
228,100m,森実　泰貴,DNS,-,-,,,,,,OP
229,100m,白井　陸大,DNS,-,-,,,,,,OP
230,200m,田口　裕太,"23""5",6着,風計測なし,,,,,,OP
231,400m,小長光　貴裕,"56""6",7着,対校と同時スタート,,,,,,OP
232,800m,井上　暁人,"2'04""3",1組1着,-,,,,,,OP
233,800m,久司　駿三,"2'18""3",1組2着,-,,,,,,OP
234,800m,佐々木　亮一,"2'32""1",1組4着,-,,,,,,OP
235,800m,上田　菜々子,"2'32""5",1組5着,-,,,,,,OP
236,800m,五日市　実侑,"2'37""9",1組6着,-,,,,,,OP
237,800m,丸田　彩佳,"2'43""8",1組7着,-,,,,,,OP
238,1500m,河合　正貴,"4'10""2",1組2着,対校と同時スタート,,,,,,OP
239,1500m,山内　岳秋,"4'12""2",1組4着,PB/対校と同時スタート,,,,,,OP
240,1500m,井上　暁人,"4'12""7",1組5着,対校と同時スタート,,,,,,OP
241,1500m,江頭　悠郎,"4'14""0",1組6着,対校と同時スタート,,,,,,OP
242,1500m,田井　裕次郎,"4'14""5",1組7着,対校と同時スタート,,,,,,OP
243,1500m,奈良　悠冬,"4'19""7",2組2着,PB,,,,,,OP
244,1500m,杉浦　拓馬,"4'24""7",2組3着,-,,,,,,OP
245,1500m,阿川　陽,"4'28""5",2組4着,PB,,,,,,OP
246,1500m,久司　駿三,"4'36""7",2組7着,PB,,,,,,OP
247,1500m,多田　駿介,"4'37""2",2組8着,-,,,,,,OP
248,1500m,松原　佳祐,"4'48""9",2組12着,-,,,,,,OP
249,1500m,芝江　柾葵,DNS,-,-,,,,,,OP
250,1500m,赤塚　洋介,DNS,-,-,,,,,,OP
251,5000m,多田　駿介,"17'02""6",3着,対校と同時スタート,,,,,,OP
252,4×400mR,横山　毅仁櫛田　優久司　駿三下山　達大,"3'51""7",1組2着,-,,,,,,OP
253,4×400mR,前田　颯福井　義光赤塚　洋介土田　周治,"4'12""4",1組5着,-,,,,,,OP
254,4×400mR,新美　惣一朗杉浦　拓馬山内　岳秋箱�ｱ　喜郎,"4'12""8",1組6着,-,,,,,,OP
255,4×400mR,田井　裕次郎塩田　匠奈良　悠冬田井　裕次郎,"3'51""4",2組2着,-,,,,,,OP
256,4×400mR,芝江　柾葵井上　暁人河合　正貴土田　周治,"4'16""5",2組6着,-,,,,,,OP
257,4×400mR,佐藤　巧永島　唯哉福井　義光上田　菜々子尾川　拓巳,"3'54""2",3組2着,-,,,,,,OP
258,4×400mR,新美　惣一朗山内　岳秋杉浦　拓馬新美　惣一朗,"3'56""9",3組4着,-,,,,,,OP
259,4×400mR,吉田　啓一郎多田　駿介阿川　陽吉田　啓一郎,"4'10""4",4組4着,-,,,,,,OP
260,4×400mR,久司　駿三赤塚　洋介松原　佳祐久司　駿三,記録なし,-,-,,,,,,OP
261,4×400mR,岩井　梨輝白井　陸大片瀬　悠喜,DNS,-,-,,,,,,OP
262,100m,8,益田　一毅,"11""48",5,+ 0.6,,,11.0,48.0,予選
263,9,天野　皓平,"10""89",1,+1.0/Q/PB/ 歴代2位,,,,,,
264,11,岩井　梨輝,"10""95",1,+0.9/Q/PB/ 歴代5位タイ,,,,,,
265,100m,2,岩井　梨輝,"11""03",4,+ 1.7,,,11.0,3.0,準決勝
266,3,天野　皓平,"10""85",2,+1.8/Q/PB/ 関東インカレB標準突破/ 工大新記録,,,,,,
267,100m,1,天野　皓平,"10""91",7,+2.3/7位入賞,,,10.0,91.0,決勝
268,200m,3,尾川　拓巳,"23""23",3,-2.0/PB/歴代37位,,,23.0,23.0,予選
269,10,永井　生,"22""75",4,q/- 0.6,,,,,,
270,11,西嶋　健人,"22""98",2,Q/- 1.4,,,,,,
271,200m,1,西嶋　健人,"22""92",6,+ 0.8,,,22.0,92.0,準決勝
272,2,永井　生,"22""86",5,+ 1.9,,,,,,
273,400m,2,小長光　貴裕,"52""20",4,-,,,52.0,20.0,予選
274,3,中嶋　一貴,"51""07",1,Q/歴代23位,,,,,,
275,4,高橋　知也,"51""79",2,Q,,,,,,
276,400m,1,中嶋　一貴,"51""19",4,-,,,51.0,19.0,準決勝
277,3,高橋　知也,"50""34",3,q,,,,,,
278,400m,1,高橋　知也,"50""22",6,6位入賞,,,50.0,22.0,決勝
279,800m,5,河合　正貴,"1'58""41",2,Q/PB/歴代20位,,1.0,58.0,41.0,予選
280,6,芝江　柾葵,"1'59""63",2,Q,,,,,,
281,7,江頭　悠郎,"2'01""84",2,Q,,,,,,
282,800m,1,芝江　柾葵,"1'58""94",4,-,,1.0,58.0,94.0,準決勝
283,2,江頭　悠郎,"1'58""99",6,-,,,,,,
284,3,河合　正貴,"1'56""97",4,PB/歴代13位,,,,,,
285,1500m,1,松井　将器,"4'06""40",1,Q,,4.0,6.0,40.0,予選
286,3,箱崎　喜郎,"4'09""93",1,Q,,,,,,
287,5,塩田　匠,"4'05""16",1,Q,,,,,,
288,1500m,1,松井　将器,"3'56""72",1,優勝,,3.0,56.0,72.0,決勝
289,1,塩田　匠,"3'58""22",4,4位入賞,,,,,,
290,1,箱崎　喜郎,"3'59""31",6,PB/歴代8位/6位入賞,,,,,,
291,5000m,1,松井　将器,"14'32""63",1,優勝,,14.0,32.0,63.0,決勝
292,1,塩田　匠,"14'53""67",2,2位入賞,,,,,,
293,1,新美　惣一朗,"15'21""44",7,7位入賞,,,,,,
294,110mH,2,永島　唯哉,"14""99",1,Q/+0.6,,,14.0,99.0,予選
295,110mH,1,永島　唯哉,"14""45",2,-0.2/2位入賞,,,14.0,45.0,決勝
296,400mH,2,中村　勇太,DNS,-,-,,,,,予選
297,5,永島　唯哉,"56""47",2,-,,,,,,
298,3000mSC,2,杉浦　拓馬,"10'14""10",3,歴代27位,,10.0,14.0,10.0,決勝
299,2,山内　岳秋,"10'14""63",4,PB/歴代28位,,,,,,
300,2,久司　駿三,"10'55""60",6,-,,,,,,
301,4×100mR,3,岩井　梨輝西嶋　健人天野　皓平永井　生,DNF,-,-,,,,,予選
302,4×400mR,2,中嶋　一貴小長光　貴裕宮田　貴史高橋　知也,"3'21""52",2,q,,3.0,21.0,52.0,予選
303,4×400mR,1,中嶋　一貴小長光　貴裕芝江　柾葵高橋　知也,"3'21""87",6,6位入賞,,3.0,21.0,87.0,決勝
304,100m,1,西嶋　健人,"11""38",5,+ 0.2,,,11.0,38.0,OP
305,2,片瀬　悠喜,"11""84",6,- 0.1,,,,,,
306,3,尾川　拓巳,"11""30",1,+0.3/歴代29位,,,,,,
307,1500m,1,小林　裕平,"4'08""20",2,-,,4.0,8.0,20.0,OP
308,1,井上　暁人,"4'08""21",3,-,,,,,,
309,1,細川　和穂,"4'16""29",9,-,,,,,,
310,5000m,1,丸山　蒼太,"16'38""33",11,-,,16.0,38.0,33.0,OP
311,1,中野　佑太,DNS,-,-,,,,,,
312,1,阿川　陽,DNS,-,-,,,,,,
313,2,井上　暁人,"16'14""91",1,-,,,,,,
314,2,奈良　悠冬,"16'58""62",6,-,,,,,,
315,2,辻　航平,"17'05""21",9,-,,,,,,
316,2,笠木　浩平,"17'15""09",13,-,,,,,,
317,3,多田　駿介,"16'39""79",1,-,,,,,,
318,3,大槻　恒太,"17'23""31",11,-,,,,,,
319,3,吉田　啓一郎,"17'57""14",16,-,,,,,,
320,4,松原　佳祐,"18'13""74",9,-,,,,,,
321,4,赤塚　洋介,DNS,-,-,,,,,,
322,1,小河　雅広,1m90,4,4位入賞,,,,,,
323,1,足達　哲也,1m75,18,-,,,,,,
324,1,小林　拓己,13m87,3,+1.0/3位入賞,,,,,,
325,1,櫛田　優,12m23,20,0.0,,,,,,
326,1,土田　周治,NM,-,-,,,,,,
327,1,土田　周治,24m16,17,-,,,,,,
328,1,福井　義光,22m50,18,-,,,,,,
329,女子100m,4,木原　葉子,"13""87",3,+1.0/歴代4位,,,13.0,87.0,予選
330,女子200m,1,木原　葉子,"27""55",1,Q/- 0.7,,,27.0,55.0,予選
331,女子200m,1,木原　葉子,"27""70",4,+2.3/4位入賞,,,27.0,70.0,決勝
332,女子800m,1,大谷　菜々子,"2'57""72",6,-,,2.0,57.0,72.0,予選
333,3,五日市　実侑,"2'38""92",6,-,,,,,,
334,5,丸田　彩佳,"2'41""21",4,-,,,,,,
335,女子3000m,1,上田　菜々子,"11'08""06",5,5位入賞,,11.0,8.0,6.0,決勝
336,1,川崎　忍,DNS,-,-,,,,,,
337,100m,4,岩井　梨輝,"11""19",3着,+2.9,,,11.0,19.0,予選
338,6,天野　皓平,"11""05",2着,+4.0/Q,,,,,,
339,10,米川　晴義,DNS,-,-,,,,,,
340,100m,3,天野　皓平,"11""09",6着,+1.9,,,11.0,9.0,準決勝
341,100m,1,西嶋　健人,"11""37",5着,+1.0,,,11.0,37.0,OP
342,3,中嶋　一貴,DNS,-,-,,,,,,
343,3,関　駿太,DNS,-,-,,,,,,
344,4,高橋　知也,"11""33",2着,-0.2,,,,,,
345,6,益田　一毅,"11""34",2着,+1.2/歴代35位,,,,,,
346,8,片瀬　悠喜,"11""45",4着,+1.4/歴代40位,,,,,,
347,9,高橋　慧,"11""94",4着,+1.0,,,,,,
348,10,尾川　拓巳,"11""22",1着,+1.7/PB/歴代26位,,,,,,
349,11,石井　裕太,DNS,-,-,,,,,,
350,13,中村　彩人,"11""97",6着,+1.3,,,,,,
351,14,野村　勝洋,"11""90",3着,+0.7,,,,,,
352,18,下山　達大,"11""89",1着,+1.1/PB,,,,,,
353,18,白井　陸大,"12""28",1着,+1.1,,,,,,
354,19,前田　颯,"11""82",3着,+1.1,,,,,,
355,20,小長光　貴裕,"11""56",2着,+0.1,,,,,,
356,20,田口　裕太,"11""98",5着,+0.1,,,,,,
357,21,横山　毅仁,"11""24",1着,+0.9/歴代27位,,,,,,
358,21,森実　泰貴,"12""03",4着,+0.9,,,,,,
359,200m,4,岩井　梨輝,"23""11",5着,+2.5,,,23.0,11.0,予選
360,6,天野　皓平,"22""30",1着,+3.1/Q,,,,,,
361,9,西嶋　健人,"23""21",4着,+2.8,,,,,,
